Date,MP1,Unscheduled
12/1/2008,-0.00982,1
12/16/2008,-0.16017,0
1/28/2009,0.005,0
3/18/2009,0,0
4/29/2009,0.005,0
6/24/2009,0,0
8/12/2009,0,0
9/23/2009,-0.005,0
11/4/2009,-0.00577,0
12/16/2009,-0.031,0
1/27/2010,-0.005,0
3/16/2010,-0.00517,0
4/28/2010,0,0
6/23/2010,0.005,0
8/10/2010,0.00369,0
9/21/2010,0,0
11/3/2010,0.00833,0
12/14/2010,0,0
1/26/2011,-0.005,0
3/15/2011,0,0
4/27/2011,0,0
6/22/2011,0,0
8/9/2011,-0.00704,0
9/21/2011,0.00834,0
11/2/2011,0,0
12/13/2011,0.00431,0
1/25/2012,-0.005,0
3/13/2012,0,0
4/25/2012,0,0
6/20/2012,0.00751,0
8/1/2012,-0.01137,0
9/13/2012,0.00883,0
10/24/2012,-0.005,0
12/12/2012,0.00408,0
1/30/2013,0.005,0
3/20/2013,0,0
5/1/2013,-0.02066,0
6/19/2013,0,0
7/31/2013,0.005,0
9/18/2013,0,0
10/30/2013,0,0
12/18/2013,0,0
1/29/2014,0,0
3/19/2014,0,0
4/30/2014,0,0
6/18/2014,0,0
7/30/2014,-0.005,0
9/17/2014,0,0
10/29/2014,0.005,0
12/17/2014,-0.00554,0
1/28/2015,0,0
3/18/2015,-0.00597,0
4/29/2015,-0.005,0
6/17/2015,-0.00577,0
7/29/2015,-0.005,0
9/17/2015,-0.06347,0
10/28/2015,-0.005,0
12/16/2015,0.02067,0
1/27/2016,-0.005,0
3/16/2016,-0.0155,0
4/27/2016,-0.005,0
6/15/2016,0,0
7/27/2016,-0.01,0
9/21/2016,-0.05,0
11/2/2016,-0.00536,0
12/14/2016,0,0
2/1/2017,-0.0026,0
3/15/2017,0,0
5/3/2017,0,0
6/14/2017,0.01875,0
7/26/2017,-0.005,0
9/20/2017,0,0
11/1/2017,-0.00259,0
12/13/2017,0,0
1/31/2018,-0.005,0
3/21/2018,0,0
5/2/2018,0,0
6/13/2018,-0.00442,0
8/1/2018,1.00E+10,0
9/26/2018,1.00E+10,0
11/8/2018,1.00E+10,0
12/19/2018,1.00E+10,0
1/30/2019,1.00E+10,0
3/20/2019,1.00E+10,0
5/1/2019,1.00E+10,0
6/19/2019,1.00E+10,0
7/31/2019,1.00E+10,0
9/18/2019,1.00E+10,0
10/4/2019,1.00E+10,1
10/30/2019,1.00E+10,0
12/11/2019,1.00E+10,0
1/29/2020,1.00E+10,0
3/3/2020,1.00E+10,1
3/16/2020,1.00E+10,1
4/29/2020,1.00E+10,0
6/10/2020,1.00E+10,0
7/29/2020,1.00E+10,0
8/27/2020,1.00E+10,1
9/16/2020,1.00E+10,0
